What are unit cells?; They are the smallest/simplest ‘repeating units’ of the material
What is the definition of coordination Numbers (CN)?; It is the number of nearest neighbour atoms surrounding a whole/full atom
Name a type of unit cell and list their corresponding number of whole atoms in the unit cell (n).; Face-centred cubic (FCC) n=4 OR Body-centred cubic (BCC) n=2 OR Hexagonal close-packed (HCP) n=6
Name a type of unit cell and list their corresponding coordination number (CN); Face-centred cubic (FCC) CN=12 OR Body-centred cubic (BCC) CN=8 OR Hexagonal close-packed (HCP) CN=12
Name a type of unit cell and list their corresponding atomic packing factor(APF); Face-centred cubic (FCC) APF=0.74 OR Body-centred cubic (BCC) APF=0.68 OR Hexagonal close-packed (HCP) APF=0.74
What is the family of directions?; It means that the spacing of atoms along each direction is the same.
In a cubic system are [100] and [010]  equivalent, true or false?; True 
Plane should pass through the selected origin, true or false?; False, if the plane passes through the selected origin then choose a new origin. 
A Plane that is parallel to an axis has an infinite intercept, true or false?; True.
What is a family of planes? ; It has all planes that are crystallographically equivalent, same atomic packing.
In a cubic system, planes in the family of planes have the same indices, irrespective of order and sign are equivalent, true or false.; True. 
(312) part of {123} family, true or false?; True.
There can be more than one origin point in a unit cell, true or false.; False, there can only be one origin point in a unit cell, hence, directions and planes have to be found with respect to the same origin point. 
What is the arrangement and orientation of the single crystalline material?; They have repeated arrangement of atoms extending throughout the whole specimen without disruption, with all unit cells interlocking in the same way and have the same orientation.
Single crystals can be produced artificially, true or false.; True
Polycrystalline materials are a collection of many single crystals of the same orientation, true or false.; False, they are a collection of many single crystals of different orientation 
What is the grain boundary?; It is the region where two crystals meet and show atomic mismatch is called grain boundary.
In x-ray diffraction, When a beam of x-ray impinges on a solid the beam will be scattered in the same direction, and at a certain angle the beam is in-phase and produces an amplified signal, true or false.; False. In x-ray diffraction, When a beam of x-ray impinges on a solid the beam will be scattered in all directions, and at a certain angle the beam is in-phase and will produce an amplified signal.
The types of imperfections are point defect, linear defect, plane defect, and interfacial defects. True or false.; False, there is no plane defect. 
List any point defect.; Vacancy, or self-interstitial, or impurities. 
What is the definition of vacancy, which is a type of point defect.; It is a void space in solid because of the missing atoms during solidification or (due to ) atomic vibration. 
Self interstitial, a type of point defect, is common, true or false.; False, vacancy, the type of point defect is common. Self-interstitial, a type of point defect  is rare.
What is the difference between substitutional or interstitial impurities?; In substitutional impurities, impurity atoms replaced or substitutional the host atoms, while in interstitial impurities, the impurity atoms occupy the interstitial site of the host atoms. 
List any two factors determining the formation of impurity defects?; Atomic size factor OR Crystal structure OR Electronegativity OR Same Valence 
The same valence is the most important factor for the formation of substitutional defects, true or false.; False, same valence is the least important factor, most important factor is 士 15% difference in atomic radii.
Define Linear defects.; Dislocation is a linear or one-dimensional defect around which some atoms are misaligned. 
The type of linear defects are edge dislocation, screw dislocation, turning dislocation, true or false.; False, the type of linear defects are edge dislocation, screw dislocation and mixed dislocation. 
Edge dislocation is a linear defect which centres along the end of an ____ of atoms.; Extra half-plane
Mixed dislocation has both turning dislocation or edge dislocation in crystalline solids, true or false.; False, as mixed dislocation has both edge dislocation or screw dislocation in crystalline solids
What is the definition of phase boundaries?; A phase boundary is a surface between two different samples of matter that are in contact with each other.
List examples of bulk or volume defects.; Pores (air gap) OR Cracks OR Foreign inclusions OR Additional phases
Diffusion is a phenomenon of material transport by atomic motion, that has a stepwise migration of atoms and is time dependent, true or false.; True 
List the types of diffusion.; Inter-diffusion and Self-diffusion 
What is the difference between inter-diffusion and self-diffusion?; Inter-diffusion, where atoms of impurity metal diffuse into host metal, while in self- diffusion, host atoms exchange positions. 
List the two conditions for diffusion.; There has to be an empty adjacent lattice site AND the atoms has to gain enough vibrational energy to break bonds 
The two diffusion mechanisms are vacancy diffusion and interstitial diffusion, true or false.; True. 
What is the definition of vacancy diffusion?; When an atom (host or impurity) moves from a normal lattice position to an adjacent vacancy.
If diffusion flux, J, changes with time, a steady-state condition exists, true or false.; False, If diffusion flux J does not change with time, a steady-state condition exists. 
List the factors affecting the rate of diffusion.; The atomic radius of diffusing species, packing 
What is the formula of stress and strain?; Stress= force/area and Strain= change in length/original length 
What is the definition of anelasticity?; It is the time taken for the complete recovery from its elastic deformation. 
